マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
ＪＲ山手線 新大久保駅 2階建 築51年,東京都新宿区大久保１,51,2階,47000.0,3000,1,202.0,https://suumo.jp/chintai/jnc_000076251335/?bc=100319330378,47000.0,0.0,ＪＲ山手線,新大久保駅,2.0,0,1,0,0,新宿区,大久保１,-235097.4130316638,285097.4130316638,50000.0
ＪＲ山手線 目白駅 3階建 築45年,東京都新宿区下落合３,45,3階,49000.0,0,1,16.52,https://suumo.jp/chintai/jnc_000051945395/?bc=100310544334,49000.0,0.0,ＪＲ山手線,目白駅,3.0,0,0,0,0,新宿区,下落合３,-233590.86316467676,282590.86316467676,49000.0
ハイツ大久保,東京都新宿区下落合３,45,3階,49000.0,0,1,16.52,https://suumo.jp/chintai/jnc_000051926819/?bc=100317337303,49000.0,0.0,ＪＲ山手線,目白駅,3.0,0,0,0,0,新宿区,下落合３,-233412.98787659418,282412.9878765942,49000.0
ローリエ矢来町,東京都新宿区矢来町,54,3階,55000.0,3300,1,23.972,https://suumo.jp/chintai/jnc_000080741657/?bc=100318538045,0.0,55000.0,東京メトロ東西線,神楽坂駅,3.0,0,1,0,0,新宿区,矢来町,-233250.6739722293,291550.6739722293,58300.0
第二請地ビル,東京都新宿区早稲田町,41,3階,55000.0,0,1,18.252,https://suumo.jp/chintai/jnc_000080904561/?bc=100319474380,55000.0,55000.0,東京メトロ東西線,早稲田駅,3.0,0,0,0,0,新宿区,早稲田町,-226055.14419413143,281055.1441941314,55000.0
ひかりコーポ,東京都新宿区中落合４,39,1階,59000.0,0,1,18.532,https://suumo.jp/chintai/jnc_000063062544/?bc=100283355969,0.0,0.0,都営大江戸線,落合南長崎駅,1.0,0,1,0,0,新宿区,中落合４,-224852.58167537278,283852.5816753728,59000.0
都営大江戸線 落合南長崎駅 2階建 築39年,東京都新宿区西落合３,39,1階,53000.0,3000,1,18.12,https://suumo.jp/chintai/jnc_000070941196/?bc=100265147942,0.0,53000.0,都営大江戸線,落合南長崎駅,1.0,0,1,0,0,新宿区,西落合３,-224739.574165327,280739.574165327,56000.0
西武新宿線 下落合駅 2階建 築14年,東京都新宿区高田馬場３,14,1階,63000.0,1000,1,16.252,https://suumo.jp/chintai/jnc_000080369626/?bc=100318962142,63000.0,63000.0,西武新宿線,下落合駅,1.0,0,1,0,0,新宿区,高田馬場３,-224599.85207323136,288599.85207323136,64000.0
喜久井町松下,東京都新宿区喜久井町,38,1階,65000.0,2000,1,15.062,https://suumo.jp/chintai/jnc_000073723041/?bc=100285271735,65000.0,65000.0,東京メトロ東西線,早稲田駅,1.0,0,0,0,0,新宿区,喜久井町,-223023.98583231616,290023.98583231616,67000.0
サンハイツ富久,東京都新宿区富久町,27,3階,56000.0,2000,1,13.652,https://suumo.jp/chintai/jnc_000073711919/?bc=100318669350,56000.0,0.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,0,0,0,0,新宿区,富久町,-222789.63232255506,280789.63232255506,58000.0
クレドハウス新宿,東京都新宿区新宿７,53,1階,45000.0,10000,1,11.622,https://suumo.jp/chintai/jnc_000078809545/?bc=100288475309,0.0,0.0,都営大江戸線,東新宿駅,1.0,0,0,0,0,新宿区,新宿７,-222070.73872025427,277070.7387202543,55000.0
コスモス神楽坂（ＲＣ）,東京都新宿区赤城下町,56,2階,45000.0,1000,1,16.22,https://suumo.jp/chintai/jnc_000080888355/?bc=100307552311,0.0,0.0,東京メトロ東西線,神楽坂駅,2.0,0,1,0,0,新宿区,赤城下町,-222028.2844261434,268028.2844261434,46000.0
アンフィールド2,東京都新宿区中井２,23,1階,60000.0,0,1,182.0,https://suumo.jp/chintai/jnc_000075129503/?bc=100300833661,60000.0,60000.0,都営大江戸線,中井駅,1.0,0,0,0,0,新宿区,中井２,-221565.9422369309,281565.9422369309,60000.0
シルクハウス,東京都新宿区百人町３,30,2階,53000.0,0,1,17.212,https://suumo.jp/chintai/jnc_000070371740/?bc=100319399242,53000.0,0.0,ＪＲ中央線,大久保駅,2.0,0,0,0,0,新宿区,百人町３,-220530.01266541996,273530.01266541996,53000.0
